test	struct	rep	count	variable	value
mix	rdeque	3	4000	seconds	0.521871702
insert	rpqueue	3	4000	seconds	1.33111853
remove	rpqueue	3	4000	seconds	1.427993013
mix	rpqueue	3	4000	seconds	1.358602263
insert	rstack	4	4000	seconds	0.130634579
remove	rstack	4	4000	seconds	0.180831641
mix	rstack	4	4000	seconds	0.151761781
insert	rdeque	4	4000	seconds	0.395376762
remove	rdeque	4	4000	seconds	0.633441419
mix	rdeque	4	4000	seconds	0.50894015
insert	rpqueue	4	4000	seconds	1.347662121
remove	rpqueue	4	4000	seconds	1.421927727
mix	rpqueue	4	4000	seconds	1.403302598
insert	rstack	5	4000	seconds	0.134546369
remove	rstack	5	4000	seconds	0.181528063
mix	rstack	5	4000	seconds	0.156181666
insert	rdeque	5	4000	seconds	0.402260051
remove	rdeque	5	4000	seconds	0.637968987
mix	rdeque	5	4000	seconds	0.505726854
insert	rpqueue	5	4000	seconds	1.336485615
remove	rpqueue	5	4000	seconds	1.404666056
mix	rpqueue	5	4000	seconds	1.396353516
insert	rstack	6	4000	seconds	0.129704133
remove	rstack	6	4000	seconds	0.18787775
mix	rstack	6	4000	seconds	0.157728954
insert	rdeque	6	4000	seconds	0.402454585
remove	rdeque	6	4000	seconds	0.656167578
mix	rdeque	6	4000	seconds	0.50729533
insert	rpqueue	6	4000	seconds	1.315519229
remove	rpqueue	6	4000	seconds	1.425708455
mix	rpqueue	6	4000	seconds	1.407567655
insert	rstack	7	4000	seconds	0.147927908
remove	rstack	7	4000	seconds	0.177434252
mix	rstack	7	4000	seconds	0.165245732
insert	rdeque	7	4000	seconds	0.40469431
remove	rdeque	7	4000	seconds	0.643062102
mix	rdeque	7	4000	seconds	0.494701408
insert	rpqueue	7	4000	seconds	1.343683225
remove	rpqueue	7	4000	seconds	1.450391401
mix	rpqueue	7	4000	seconds	1.362735828
insert	rstack	8	4000	seconds	0.138021823
remove	rstack	8	4000	seconds	0.17758951
mix	rstack	8	4000	seconds	0.151522378
insert	rdeque	8	4000	seconds	0.408956905
remove	rdeque	8	4000	seconds	0.662090645
mix	rdeque	8	4000	seconds	0.509661558
insert	rpqueue	8	4000	seconds	1.339463591
remove	rpqueue	8	4000	seconds	1.536574348
mix	rpqueue	8	4000	seconds	1.392257834
insert	rstack	9	4000	seconds	0.130681864
remove	rstack	9	4000	seconds	0.181341815
mix	rstack	9	4000	seconds	0.151011014
insert	rdeque	9	4000	seconds	0.40268567
remove	rdeque	9	4000	seconds	0.639033603
mix	rdeque	9	4000	seconds	0.507479995
insert	rpqueue	9	4000	seconds	1.344163897
remove	rpqueue	9	4000	seconds	1.443090367
mix	rpqueue	9	4000	seconds	1.374398715
insert	rstack	10	4000	seconds	0.132215238
remove	rstack	10	4000	seconds	0.183297925
mix	rstack	10	4000	seconds	0.15690023
insert	rdeque	10	4000	seconds	0.400533743
remove	rdeque	10	4000	seconds	0.646966653
mix	rdeque	10	4000	seconds	0.50654608
insert	rpqueue	10	4000	seconds	1.357646702
remove	rpqueue	10	4000	seconds	1.41241957
mix	rpqueue	10	4000	seconds	1.368465992
insert	rstack	1	5000	seconds	0.167082899
remove	rstack	1	5000	seconds	0.222971907
mix	rstack	1	5000	seconds	0.192063643
insert	rdeque	1	5000	seconds	0.497479989
remove	rdeque	1	5000	seconds	0.795190391
mix	rdeque	1	5000	seconds	0.644494954
insert	rpqueue	1	5000	seconds	1.796796425
remove	rpqueue	1	5000	seconds	1.63068603
mix	rpqueue	1	5000	seconds	1.78517706
insert	rstack	2	5000	seconds	0.168366582
remove	rstack	2	5000	seconds	0.222581278
mix	rstack	2	5000	seconds	0.192579743
insert	rdeque	2	5000	seconds	0.513381301
remove	rdeque	2	5000	seconds	0.805126864
mix	rdeque	2	5000	seconds	0.640910893
insert	rpqueue	2	5000	seconds	1.794154017
remove	rpqueue	2	5000	seconds	1.654395462
mix	rpqueue	2	5000	seconds	1.771695283
insert	rstack	3	5000	seconds	0.168831731
remove	rstack	3	5000	seconds	0.226045005
mix	rstack	3	5000	seconds	0.187557615
insert	rdeque	3	5000	seconds	0.498813449
remove	rdeque	3	5000	seconds	0.783279606
mix	rdeque	3	5000	seconds	0.640290323
insert	rpqueue	3	5000	seconds	1.879411269
remove	rpqueue	3	5000	seconds	1.634870256
mix	rpqueue	3	5000	seconds	1.782592083
insert	rstack	4	5000	seconds	0.170787619
remove	rstack	4	5000	seconds	0.225865004
mix	rstack	4	5000	seconds	0.189361381
insert	rdeque	4	5000	seconds	0.511023188
remove	rdeque	4	5000	seconds	0.794499287
mix	rdeque	4	5000	seconds	0.633726823
insert	rpqueue	4	5000	seconds	1.791454435
remove	rpqueue	4	5000	seconds	1.640109542
mix	rpqueue	4	5000	seconds	1.79017517
insert	rstack	5	5000	seconds	0.181877859
remove	rstack	5	5000	seconds	0.234116227
mix	rstack	5	5000	seconds	0.188662031
insert	rdeque	5	5000	seconds	0.50143658
remove	rdeque	5	5000	seconds	0.794311399
mix	rdeque	5	5000	seconds	0.643114793
insert	rpqueue	5	5000	seconds	1.835573303
remove	rpqueue	5	5000	seconds	1.639289943
mix	rpqueue	5	5000	seconds	1.777537238
insert	rstack	6	5000	seconds	0.167365109
remove	rstack	6	5000	seconds	0.227852579
mix	rstack	6	5000	seconds	0.194811658
insert	rdeque	6	5000	seconds	0.502489743
remove	rdeque	6	5000	seconds	0.801274336
mix	rdeque	6	5000	seconds	0.64655591
insert	rpqueue	6	5000	seconds	1.796708573
remove	rpqueue	6	5000	seconds	1.644649877
mix	rpqueue	6	5000	seconds	1.779804703
insert	rstack	7	5000	seconds	0.165474803
remove	rstack	7	5000	seconds	0.220091636
mix	rstack	7	5000	seconds	0.193455533
insert	rdeque	7	5000	seconds	0.501277638
remove	rdeque	7	5000	seconds	0.792682612
mix	rdeque	7	5000	seconds	0.641801918
insert	rpqueue	7	5000	seconds	1.795234251
remove	rpqueue	7	5000	seconds	1.731150542
mix	rpqueue	7	5000	seconds	1.753857082
insert	rstack	8	5000	seconds	0.164812289
remove	rstack	8	5000	seconds	0.219578557
mix	rstack	8	5000	seconds	0.18829593
insert	rdeque	8	5000	seconds	0.504397449
remove	rdeque	8	5000	seconds	0.801943774
mix	rdeque	8	5000	seconds	0.645231483
insert	rpqueue	8	5000	seconds	1.824483249
remove	rpqueue	8	5000	seconds	1.634708774
mix	rpqueue	8	5000	seconds	1.810348268
insert	rstack	9	5000	seconds	0.163877367
remove	rstack	9	5000	seconds	0.229358855
mix	rstack	9	5000	seconds	0.191262045
insert	rdeque	9	5000	seconds	0.500496573
remove	rdeque	9	5000	seconds	0.785181791
mix	rdeque	9	5000	seconds	0.632316063
insert	rpqueue	9	5000	seconds	1.803236466
remove	rpqueue	9	5000	seconds	1.658768563
mix	rpqueue	9	5000	seconds	1.778529944
insert	rstack	10	5000	seconds	0.164354332
remove	rstack	10	5000	seconds	0.224049992
mix	rstack	10	5000	seconds	0.190575664
insert	rdeque	10	5000	seconds	0.498654269
remove	rdeque	10	5000	seconds	0.791236171
mix	rdeque	10	5000	seconds	0.640810924
insert	rpqueue	10	5000	seconds	1.803694079
remove	rpqueue	10	5000	seconds	1.635450397
mix	rpqueue	10	5000	seconds	1.766036476
insert	rstack	1	6000	seconds	0.195032186
remove	rstack	1	6000	seconds	0.271646131
mix	rstack	1	6000	seconds	0.232128421
insert	rdeque	1	6000	seconds	0.625587119
remove	rdeque	1	6000	seconds	0.93458968
mix	rdeque	1	6000	seconds	0.736089252
insert	rpqueue	1	6000	seconds	2.282445135
remove	rpqueue	1	6000	seconds	1.91778572
mix	rpqueue	1	6000	seconds	2.094449113
insert	rstack	2	6000	seconds	0.196679101
remove	rstack	2	6000	seconds	0.278210826
mix	rstack	2	6000	seconds	0.238572706
insert	rdeque	2	6000	seconds	0.594358946
remove	rdeque	2	6000	seconds	0.985298563
mix	rdeque	2	6000	seconds	0.750138266
insert	rpqueue	2	6000	seconds	2.271345527
remove	rpqueue	2	6000	seconds	1.865772233
mix	rpqueue	2	6000	seconds	2.09599278
insert	rstack	3	6000	seconds	0.198956465
remove	rstack	3	6000	seconds	0.266256797
mix	rstack	3	6000	seconds	0.22596588
insert	rdeque	3	6000	seconds	0.598631439
remove	rdeque	3	6000	seconds	0.949412122
mix	rdeque	3	6000	seconds	0.746754926
insert	rpqueue	3	6000	seconds	2.283956163
remove	rpqueue	3	6000	seconds	1.846751318
mix	rpqueue	3	6000	seconds	2.091972715
insert	rstack	4	6000	seconds	0.202991158
remove	rstack	4	6000	seconds	0.27734869
mix	rstack	4	6000	seconds	0.23588211
